country_code,Gold Medal,Silver Medal,Bronze Medal,Total
USA,38,42,42,122
CHN,38,27,24,89
AUS,18,18,14,50
JPN,18,12,13,43
FRA,16,24,22,62
IND,14,21,27,62
KOR,13,8,9,30
NED,13,7,12,32
ITA,11,13,13,37
GER,11,11,8,30
